Index,Task Name,Video No,C ++ HR,Prectice ,Other Info,Part Of,Done & Time
1,Basics Of Number System,15 to 17,,,Do Using Function,Mathematics,No
2,Pointers,29,1,GATE DS with array ,Prectice pass by value and refrance,C++,No
3,Dynemic Memory allocation,30,,GATE DS,Find Implemantation,C++,No
4,Array (2d & 3d),18 to 27,2 to 3,GATE DS,Practice** & Learn buitin Fun & with pointer,C++/DS,No
5,Char Array & String,28-31 to 32,4 to 5,GATE DS,Practice** & Learn buitin STL Fun & with pointer,C++/DS,No
6,Bit Manipulation & prime sielve,33 to 35-36,37,,How to Create array of Bit & do pration on that,C++,No
7,Number Theory,37-192 to 197,,GATE Aptitude,Try To Implement it as Deep level,Mathematics,No
8,OOPS Concepts,53 to 55,6 to 13-21 to 35,Ex : 9-11-22-24-27-29-31-34,Do it in sub Task,C++,No
9,STL/Vactor/Class Temp,48 & 117,14 to 20-(30 to 35),Watch Youtube Video For Full STL ,Learn Implemantation  ,C++/DS,No
10,Linked List,56 to 65,,GATE DS & HR, ,DS,No
11,Stack-Queue-Dequeue,78 to 82 - 83,,GATE DS & HR,,DS,No
12,Recursion,38 to 42-44,,GATE DS & HR,Need Very Much Prectice***,DS,No
13,Infix-prefix-postfix,72 to 76,,GATE DS & HR,It is also use in Stack Queue & Tree Data Structures,DS,No
14,Back Tracking ,43 to 45,,HR,Importent. It implemente in many Algos,Algo,No
15,Divide & Concure,46 to 47-52-(49 to 51),,HR,mainly used in Sorting Algo,Algo,No
16,Tree (Binary Tree & Binary Search ),91 to 116,,,,,
17,Heap Tree and Heap Sorting,,,,,,
